<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.11	09:55:00	1.09429	1.09445	1.09428	1.09440	131	0	1
2024.03.11	09:56:00	1.09442	1.09448	1.09433	1.09439	135	0	1
2024.03.11	09:57:00	1.09439	1.09447	1.09436	1.09446	54	0	1
2024.03.11	09:58:00	1.09447	1.09449	1.09440	1.09443	96	0	1
2024.03.11	09:59:00	1.09443	1.09444	1.09418	1.09418	90	0	1
2024.03.11	10:00:00	1.09417	1.09425	1.09405	1.09422	194	0	1
2024.03.11	10:01:00	1.09422	1.09434	1.09413	1.09424	118	0	1
2024.03.11	10:02:00	1.09423	1.09429	1.09407	1.09410	142	0	1
2024.03.11	10:03:00	1.09410	1.09417	1.09400	1.09407	151	0	1
2024.03.11	10:04:00	1.09407	1.09407	1.09385	1.09397	151	0	1
2024.03.11	10:05:00	1.09398	1.09404	1.09390	1.09394	148	0	1
2024.03.11	10:06:00	1.09394	1.09398	1.09386	1.09388	140	0	1
2024.03.11	10:07:00	1.09387	1.09400	1.09386	1.09395	101	0	1
2024.03.11	10:08:00	1.09395	1.09404	1.09388	1.09389	94	0	1
2024.03.11	10:09:00	1.09389	1.09410	1.09388	1.09407	104	0	1
2024.03.11	10:10:00	1.09407	1.09426	1.09404	1.09422	128	0	1
2024.03.11	10:11:00	1.09421	1.09426	1.09411	1.09419	117	0	1
2024.03.11	10:12:00	1.09418	1.09422	1.09407	1.09411	119	0	1
2024.03.11	10:13:00	1.09412	1.09429	1.09409	1.09426	111	0	1
2024.03.11	10:14:00	1.09426	1.09450	1.09416	1.09447	108	0	1
2024.03.11	10:15:00	1.09447	1.09451	1.09429	1.09432	182	0	1
2024.03.11	10:16:00	1.09431	1.09434	1.09418	1.09418	134	0	1
2024.03.11	10:17:00	1.09418	1.09426	1.09411	1.09425	127	0	1
2024.03.11	10:18:00	1.09425	1.09434	1.09421	1.09426	90	0	1
2024.03.11	10:19:00	1.09426	1.09438	1.09420	1.09437	131	0	1
2024.03.11	10:20:00	1.09437	1.09454	1.09437	1.09444	117	0	1
2024.03.11	10:21:00	1.09446	1.09464	1.09443	1.09454	157	0	1
2024.03.11	10:22:00	1.09456	1.09466	1.09453	1.09466	125	0	1
2024.03.11	10:23:00	1.09465	1.09483	1.09460	1.09472	144	0	1
2024.03.11	10:24:00	1.09474	1.09474	1.09450	1.09455	136	0	1
2024.03.11	10:25:00	1.09452	1.09457	1.09428	1.09431	154	0	1
